hora_autorizacao,carrier_vtex,categoria produto,region,distancia,uf,dia da semana,cd_origem,City,categoria_distancia,dias_entrega2,prediction_label,prediction_dias_entrega,diff_day_auth_to_estimated2,baseline_otif,gap_baseline,OTIF_Previsto,gap_predict,dias_transportadora,prediction_dias_transportadora,gap_predict_transportadora
0.0,Azul,filtro/refil,Norte,2772596800000000.0,AM,4.0,tatuquara,manaus,muitodistante,6,5.303395526178351,5.0,10,1,4,0,-1.0,4.0,4.0,0.0
9.0,Azul,kit,Norte,2.6645563e+16,PA,4.0,tatuquara,santarem,muitodistante,9,5.942079742430392,6.0,13,1,4,0,-3.0,7.0,4.0,-3.0
11.0,Azul,bebedouro,Norte,2772596800000000.0,AM,4.0,tatuquara,manaus,muitodistante,6,5.433570069574978,5.0,10,1,4,0,-1.0,4.0,4.0,0.0
6.0,Azul,lavadora,Norte,2772596800000000.0,AM,5.0,tatuquara,manaus,muitodistante,5,5.346156205654442,5.0,9,1,4,1,0.0,4.0,4.0,0.0
7.0,Azul,conjunto,Norte,2772596800000000.0,AM,0.0,tatuquara,manaus,muitodistante,13,4.759910213581631,5.0,9,0,-4,0,-8.0,7.0,4.0,-3.0
12.0,Azul,conjunto,Norte,2772596800000000.0,AM,4.0,tatuquara,manaus,muitodistante,6,5.3091679024251865,5.0,10,1,4,0,-1.0,4.0,4.0,0.0
22.0,Azul,lavadora,Norte,2772596800000000.0,AM,3.0,tatuquara,manaus,muitodistante,7,6.143971646356045,6.0,10,1,3,0,-1.0,4.0,4.0,0.0
19.0,Azul,bebedouro,Norte,2772596800000000.0,AM,1.0,tatuquara,manaus,muitodistante,9,5.427424673954973,5.0,9,1,0,0,-4.0,4.0,4.0,0.0
10.0,Azul,conjunto,Norte,2772596800000000.0,AM,2.0,tatuquara,manaus,muitodistante,8,4.8236164185126515,5.0,11,1,3,0,-3.0,4.0,4.0,0.0
16.0,Azul,panela,Norte,2772596800000000.0,AM,4.0,tatuquara,manaus,muitodistante,6,5.787843951817652,6.0,10,1,4,1,0.0,4.0,4.0,0.0
